image_id,label,long_labels
1001723730.jpg,4,Healthy
1001749118.jpg,3,Cassava Mosaic Disease (CMD)
1003218714.jpg,2,Cassava Green Mottle (CGM)
1003442061.jpg,4,Healthy
1003888281.jpg,0,Cassava Bacterial Blight (CBB)
1004389140.jpg,1,Cassava Brown Streak Disease (CBSD)
1005200906.jpg,2,Cassava Green Mottle (CGM)
100560400.jpg,4,Healthy
1009126931.jpg,4,Healthy
1009431532.jpg,2,Cassava Green Mottle (CGM)
1010806468.jpg,4,Healthy
1011571614.jpg,4,Healthy
1011909285.jpg,4,Healthy
1012257169.jpg,4,Healthy
1012305013.jpg,1,Cassava Brown Streak Disease (CBSD)
1012902365.jpg,4,Healthy
1014332426.jpg,4,Healthy
1014359226.jpg,2,Cassava Green Mottle (CGM)
1015749198.jpg,2,Cassava Green Mottle (CGM)
101712540.jpg,2,Cassava Green Mottle (CGM)
1017415426.jpg,4,Healthy
1017827385.jpg,4,Healthy
1018973237.jpg,0,Cassava Bacterial Blight (CBB)
1019366633.jpg,4,Healthy
1019398233.jpg,4,Healthy
102039365.jpg,0,Cassava Bacterial Blight (CBB)
1021655183.jpg,2,Cassava Green Mottle (CGM)
1021758544.jpg,0,Cassava Bacterial Blight (CBB)
1022932733.jpg,4,Healthy
1023663951.jpg,4,Healthy
1024067372.jpg,4,Healthy
102485576.jpg,0,Cassava Bacterial Blight (CBB)
1025198223.jpg,3,Cassava Mosaic Disease (CMD)
1026467332.jpg,0,Cassava Bacterial Blight (CBB)
1026915452.jpg,1,Cassava Brown Streak Disease (CBSD)
1027796931.jpg,0,Cassava Bacterial Blight (CBB)
1028041356.jpg,3,Cassava Mosaic Disease (CMD)
1028128877.jpg,4,Healthy
1031500522.jpg,3,Cassava Mosaic Disease (CMD)
1032460539.jpg,2,Cassava Green Mottle (CGM)
1033403106.jpg,0,Cassava Bacterial Blight (CBB)
1033787784.jpg,1,Cassava Brown Streak Disease (CBSD)
1033962303.jpg,4,Healthy
1034219276.jpg,4,Healthy
1034548842.jpg,2,Cassava Green Mottle (CGM)
1035014017.jpg,4,Healthy
1036959902.jpg,0,Cassava Bacterial Blight (CBB)
1038640139.jpg,1,Cassava Brown Streak Disease (CBSD)
1039176615.jpg,4,Healthy
1039292236.jpg,4,Healthy
1043086898.jpg,4,Healthy
1043392236.jpg,4,Healthy
1044718671.jpg,0,Cassava Bacterial Blight (CBB)
1044930186.jpg,4,Healthy
1045099368.jpg,4,Healthy
1045545977.jpg,4,Healthy
1045708576.jpg,3,Cassava Mosaic Disease (CMD)
10459387.jpg,4,Healthy
1046156726.jpg,2,Cassava Green Mottle (CGM)
1046703257.jpg,4,Healthy
1047154095.jpg,4,Healthy
1047272845.jpg,4,Healthy
1047901042.jpg,2,Cassava Green Mottle (CGM)
1047958369.jpg,4,Healthy
1048147223.jpg,0,Cassava Bacterial Blight (CBB)
1048581072.jpg,2,Cassava Green Mottle (CGM)
1049791378.jpg,4,Healthy
1050847556.jpg,4,Healthy
1050949665.jpg,0,Cassava Bacterial Blight (CBB)
1051688339.jpg,0,Cassava Bacterial Blight (CBB)
1052854295.jpg,0,Cassava Bacterial Blight (CBB)
1054946133.jpg,2,Cassava Green Mottle (CGM)
105602329.jpg,4,Healthy
105741284.jpg,4,Healthy
1057462029.jpg,0,Cassava Bacterial Blight (CBB)
1058542448.jpg,4,Healthy
1059334615.jpg,3,Cassava Mosaic Disease (CMD)
1059412486.jpg,2,Cassava Green Mottle (CGM)
1060543398.jpg,4,Healthy
1060644080.jpg,4,Healthy
1060754806.jpg,3,Cassava Mosaic Disease (CMD)
10607686.jpg,2,Cassava Green Mottle (CGM)
1063110047.jpg,1,Cassava Brown Streak Disease (CBSD)
1064213029.jpg,4,Healthy
1064688608.jpg,2,Cassava Green Mottle (CGM)
1065833532.jpg,4,Healthy
1067302519.jpg,4,Healthy
